fighter1,fighter2,result1,result2,date
Nate-Diaz,Josh-Neer,Win,Loss,2008-09-17
Clay-Guida,Mac-Danzig,Win,Loss,2008-09-17
Alan-Belcher,Ed-Herman,Win,Loss,2008-09-17
Eric-Schafer,Houston-Alexander,Win,Loss,2008-09-17
Alessio-Sakara,Joe-Vedepo,Win,Loss,2008-09-17
Wilson-Gouveia,Ryan-Jensen,Win,Loss,2008-09-17
Joe-Lauzon,Kyle-Bradley,Win,Loss,2008-09-17
Jason-Brilz,Brad-Morris,Win,Loss,2008-09-17
Mike-Massenzio,Drew-McFedries,Win,Loss,2008-09-17
Dan-Miller,Rob-Kimmons,Win,Loss,2008-09-17
Brock-Lesnar,Randy-Couture,Win,Loss,2008-11-15
Kenny-Florian,Joe-Stevenson,Win,Loss,2008-11-15
Dustin-Hazelett,Tamdan-McCrory,Win,Loss,2008-11-15
Gabriel-Gonzaga,Josh-Hendricks,Win,Loss,2008-11-15
Demian-Maia,Nate-Quarry,Win,Loss,2008-11-15
Aaron-Riley,Jorge-Gurgel,Win,Loss,2008-11-15
Jeremy-Stephens,Rafael-Dos Anjos,Win,Loss,2008-11-15
Mark-Bocek,Alvin-Robinson,Win,Loss,2008-11-15
Matt-Brown,Ryan-Thomas,Win,Loss,2008-11-15
Michael-Bisping,Chris-Leben,Win,Loss,2008-10-18
Keith-Jardine,Brandon-Vera,Win,Loss,2008-10-18
Luiz-Cane,Rameau Thierry-Sokoudjou,Win,Loss,2008-10-18
Chris-Lytle,Paul-Taylor,Win,Loss,2008-10-18
Marcus-Davis,Paul-Kelly,Win,Loss,2008-10-18
Dan-Hardy,Akihiro-Gono,Win,Loss,2008-10-18
Shane-Carwin,Neil-Wain,Win,Loss,2008-10-18
David-Bielkheden,Jess-Liaudin,Win,Loss,2008-10-18
Terry-Etim,Sam-Stout,Win,Loss,2008-10-18
Jim-Miller,David-Baron,Win,Loss,2008-10-18
Per-Eklund,Samy-Schiavo,Win,Loss,2008-10-18
Rashad-Evans,Chuck-Liddell,Win,Loss,2008-09-06
Rich-Franklin,Matt-Hamill,Win,Loss,2008-09-06
Dan-Henderson,Rousimar-Palhares,Win,Loss,2008-09-06
Nate-Marquardt,Martin-Kampmann,Win,Loss,2008-09-06
Dong Hyun-Kim,Matt-Brown,Win,Loss,2008-09-06
Kurt-Pellegrino,Thiago-Tavares,Win,Loss,2008-09-06
Tim-Boetsch,Michael-Patt,Win,Loss,2008-09-06
Jason-MacDonald,Jason-Lambert,Win,Loss,2008-09-06
Ryo-Chonan,Roan-Carneiro,Win,Loss,2008-09-06
Forrest-Griffin,Quinton-Jackson,Win,Loss,2008-07-05
Patrick-Cote,Ricardo-Almeida,Win,Loss,2008-07-05
Joe-Stevenson,Gleison-Tibau,Win,Loss,2008-07-05
Josh-Koscheck,Chris-Lytle,Win,Loss,2008-07-05
Tyson-Griffin,Marcus-Aurelio,Win,Loss,2008-07-05
Gabriel-Gonzaga,Justin-McCully,Win,Loss,2008-07-05
Cole-Miller,Jorge-Gurgel,Win,Loss,2008-07-05
Melvin-Guillard,Dennis-Siver,Win,Loss,2008-07-05
Justin-Buchholz,Corey-Hill,Win,Loss,2008-07-05
Anderson-Silva,Patrick-Cote,Win,Loss,2008-10-25
Thiago-Alves,Josh-Koscheck,Win,Loss,2008-10-25
Gray-Maynard,Rich-Clementi,Win,Loss,2008-10-25
Junior-Dos Santos,Fabricio-Werdum,Win,Loss,2008-10-25
Sean-Sherk,Tyson-Griffin,Win,Loss,2008-10-25
Thales-Leites,Drew-McFedries,Win,Loss,2008-10-25
